Name	Chr	Start	End	Strand
1700017G19Rik	chr3	40403806	40421834	-
AC163023.1	chr3	40417740	40417813	+
Intu	chr3	40430208	40508696	+
Gm16114	chr3	40462789	40463088	-
Slc25a31	chr3	40512777	40529515	+
Hspa4l	chr3	40548417	40600025	+
Plk4	chr3	40603941	40620805	+
Mfsd8	chr3	40621992	40650807	-
3110057O12Rik	chr3	40650892	40742060	+
Gm10731	chr3	40657398	40659203	-
6430590A07Rik	chr3	40689819	40698045	-
1700034I23Rik	chr3	40704121	40706465	-
AC160757.1	chr3	40746963	40747283	+
Larp1b	chr3	40754553	40781715	+
U1	chr3	40796615	40796772	+
Larp1b	chr3	40825861	40844156	+
Pgrmc2	chr3	40870248	40886968	-
Gm16508	chr3	41089983	41094512	-
SNORD22	chr3	41245265	41245389	-
C430002E04Rik	chr3	41292726	41297114	-
Phf17	chr3	41359656	41420784	+
Sclt1	chr3	41430639	41546436	-
D3Ertd751e	chr3	41546533	41563311	+
7SK	chr3	43729491	43729786	+
U6	chr3	44787122	44787226	+
2610316D01Rik	chr3	45084362	45182182	-
Pcdh10	chr3	45182320	45238488	+
U1	chr3	45621658	45621820	+
U6	chr3	45782500	45782617	+
SNORA17	chr3	46093755	46093886	+
Pabpc4l	chr3	46246119	46251863	-
Gm10356	chr3	46854304	46855563	-
SNORA17	chr3	47004549	47004686	+
1700018B24Rik	chr3	48409654	48413023	-
U1	chr3	48758644	48758807	+
SNORA66	chr3	49295273	49295400	+
U6	chr3	49462685	49462791	+
Pcdh18	chr3	49547218	49561238	-
Slc7a11	chr3	50168858	50247535	-
U6atac	chr3	50356865	50356959	+
SNORA17	chr3	50642503	50642637	-
Ccrn4l	chr3	51028369	51055566	+
Elf2	chr3	51059153	51144580	-
4930577N17Rik	chr3	51081493	51083727	+
AC161183.1	chr3	51101101	51101166	+
4930583H14Rik	chr3	51192337	51200660	-
Ndufc1	chr3	51208599	51212910	-
Naa15	chr3	51219938	51279907	+
Rab33b	chr3	51287888	51299827	+
Setd7	chr3	51319241	51364800	-
5031434O11Rik	chr3	51363679	51371039	+
Mgst2	chr3	51464282	51486597	+
Maml3	chr3	51491533	51908813	-
Gm10729	chr3	51497693	51499012	+
n-R5s196	chr3	51632834	51632950	+
Gm10728	chr3	51710909	51712738	-
Foxo1	chr3	52072259	52154031	+
Gm20402	chr3	52072357	52073357	-
Gm10293	chr3	52416707	52417938	+
U6	chr3	52526571	52526677	-
Cog6	chr3	52786045	52821145	-
Lhfp	chr3	52845450	53065601	+
Nhlrc3	chr3	53252510	53267245	-
Gm16206	chr3	53256541	53261719	+
2810046L04Rik	chr3	53267588	53285677	+
Stoml3	chr3	53292649	53312424	+
SNORA17	chr3	53315924	53316048	+
Frem2	chr3	53317861	53461277	-
U6	chr3	53647329	53647431	+
Gm10985	chr3	53649008	53649200	+
Ufm1	chr3	53657301	53658908	-
Ufm1	chr3	53659134	53667752	-
Trpc4	chr3	53959979	54122389	+
Postn	chr3	54165031	54194961	+
Gm5641	chr3	54285388	54286461	+
Gm17556	chr3	54435361	54438549	+
Fam48a	chr3	54497027	54532684	+
Exosc8	chr3	54532600	54539315	-
Alg5	chr3	54539461	54555049	+
Smad9	chr3	54559504	54605179	+
Rfxap	chr3	54607038	54611713	-
Gm10254	chr3	54614486	54615172	-
6030405A18Rik	chr3	54700990	54719809	-
Ccna1	chr3	54849391	54858977	-
Spg20	chr3	54916030	54941244	+
A730037C10Rik	chr3	54941261	54976857	+
AC111132.1	chr3	54966236	54966356	-
Sohlh2	chr3	54985950	55013879	+
Dclk1	chr3	55046448	55342986	+
U6	chr3	55109239	55109345	+
U6	chr3	55352368	55352474	+
Nbea	chr3	55429127	55987623	-
Mab21l1	chr3	55586432	55589207	+
SNORA69	chr3	55760704	55760835	-
SNORA17	chr3	56249204	56249334	-
F830104G03Rik	chr3	56693900	56694515	-
SNORA17	chr3	56858072	56858201	+
Tm4sf1	chr3	57089533	57105841	-
U7	chr3	57175392	57175451	+
Tm4sf4	chr3	57229236	57245599	+
Wwtr1	chr3	57259571	57379832	-
Gm16016	chr3	57332154	57332703	+
Gm16743	chr3	57424827	57429740	-
Commd2	chr3	57446826	57455637	-
Gm410	chr3	57470407	57496459	-
Rnf13	chr3	57539993	57639347	+
Pfn2	chr3	57645817	57651486	-
U6	chr3	57726010	57726109	-
Gm5537	chr3	57906916	57908169	-
U6	chr3	58094173	58094279	-
Tsc22d2	chr3	58219437	58270709	+
Serp1	chr3	58325891	58329795	-
Eif2a	chr3	58329743	58361423	+
2810407C02Rik	chr3	58380558	58397055	+
Fam194a	chr3	58420222	58441129	-
Siah2	chr3	58478860	58496322	-
4930593A02Rik	chr3	58496511	58601253	+
Clrn1	chr3	58647950	58689262	-
U6	chr3	58779552	58779653	+
U2	chr3	58782777	58782948	-
Gm10071	chr3	58791092	58913689	+
Med12l	chr3	58810900	59122332	+
Gpr171	chr3	58900370	58905743	-
P2ry14	chr3	58918548	58934546	-
F630111L10Rik	chr3	58954468	58957447	-
Gpr87	chr3	58982845	58999026	-
P2ry13	chr3	59011818	59014804	-
P2ry12	chr3	59020193	59066753	-
Igsf10	chr3	59120657	59148178	-
Gm5538	chr3	59533708	59556319	+
4930449A18Rik	chr3	59582018	59642534	+
C130079G13Rik	chr3	59729136	59741871	+
Gm9696	chr3	59756231	59777516	+
Aadacl2	chr3	59810665	59829342	+
Aadac	chr3	59835685	59844082	+
Sucnr1	chr3	59885791	59891488	+
U6	chr3	59931563	59931669	-
Mbnl1	chr3	60277032	60433670	+
Gm8325	chr3	60680934	60682761	+
P2ry1	chr3	60806717	60812901	+
B430305J03Rik	chr3	61166172	61169873	-
Rap2b	chr3	61168429	61172625	+
U7	chr3	61207710	61207757	+
Arhgef26	chr3	62142266	62266143	+
Dhx36	chr3	62273961	62310926	-
Gpr149	chr3	62332999	62409062	-
SCARNA14	chr3	62956139	62956280	+
Mme	chr3	63099794	63186153	+
U6	chr3	63292915	63293020	+
Plch1	chr3	63500156	63703394	-
U6	chr3	63574134	63574231	+
Gm16162	chr3	63629716	63630366	+
Gm16129	chr3	63647038	63647991	+
snoU13	chr3	63711633	63711734	-
E130311K13Rik	chr3	63718606	63733394	-
Slc33a1	chr3	63737429	63768690	-
Gm17548	chr3	63767555	63772581	+
Gmps	chr3	63780028	63826501	+
Gm9479	chr3	63856953	63859532	-
Vmn2r1	chr3	63885564	63909380	+
U6	chr3	63913557	63913659	+
Vmn2r2	chr3	63920354	63944465	-
Gm5139	chr3	63967312	63967560	+
Gm18294	chr3	63999496	64017599	-
Vmn2r3	chr3	64062883	64091417	-
snoU109	chr3	64122329	64122486	-
Vmn2r-ps4	chr3	64132582	64136775	+
Vmn2r-ps5	chr3	64143487	64161646	-
Vmn2r4	chr3	64192543	64219218	-
Vmn2r-ps6	chr3	64240805	64242209	-
Vmn2r-ps7	chr3	64246522	64247897	-
RP23-445D13.2	chr3	64251889	64264017	+
Vmn2r-ps8	chr3	64280940	64283241	+
Vmn2r5	chr3	64294743	64313657	-
Vmn2r6	chr3	64341483	64369220	-
Vmn2r-ps9	chr3	64395437	64396818	-
RP23-445D13.4	chr3	64400835	64409695	+
Vmn2r-ps10	chr3	64425616	64427917	+
Vmn2r-ps10	chr3	64427143	64427917	+
Vmn2r-ps11	chr3	64436496	64648665	-
AC110575.2	chr3	64436785	64648665	-
Vmn2r7	chr3	64494582	64648687	-
Vmn2r-ps12	chr3	64548671	64549567	-
Vmn2r-ps12	chr3	64548671	64549539	-
RP24-549B23.7	chr3	64574208	64574440	-
SNORA17	chr3	64698393	64698518	-
Vmn2r-ps13	chr3	64703079	64703684	+
Kcnab1	chr3	64913306	65182145	+
A730090N16Rik	chr3	65128698	65153351	-
Ssr3	chr3	65183577	65196545	-
Gm5540	chr3	65197259	65199106	+
4931440P22Rik	chr3	65311179	65333301	-
U6	chr3	65329623	65329715	+
Tiparp	chr3	65332332	65359067	+
Lekr1	chr3	65470150	65635084	+
U6	chr3	65575433	65575539	-
Ccnl1	chr3	65750073	65762171	-
Veph1	chr3	65857483	66100759	-
U1	chr3	65892031	65892183	-
Ptx3	chr3	66023809	66029728	+
Shox2	chr3	66775217	66785693	-
Shox2	chr3	66775649	66785693	-
Rsrc1	chr3	66785312	67162318	+
U6	chr3	66859880	66859986	+
Gm17402	chr3	67169383	67179085	-
Mlf1	chr3	67178019	67203925	+
Gfm1	chr3	67234018	67280451	+
Lxn	chr3	67261920	67267848	-
Rarres1	chr3	67282894	67319445	-
SNORA17	chr3	67377082	67377213	-
Mfsd1	chr3	67386690	67408153	+
Iqcj	chr3	67696142	67860515	+
Schip1	chr3	67868864	68430404	+
Gm5848	chr3	68112747	68113103	-
U2	chr3	68351442	68351630	-
Il12a	chr3	68494566	68502469	+
Gm10040	chr3	68537059	68541999	+
Gm17641	chr3	68671839	68674188	-
1110032F04Rik	chr3	68673508	68676085	+
Ift80	chr3	68696421	68808492	-
RP24-399B3.3	chr3	68704093	68704371	-
RP24-399B3.4	chr3	68705752	68706066	+
Gm18588	chr3	68706189	68706680	-
RP24-399B3.1	chr3	68707742	68708074	-
Smc4	chr3	68808660	68838545	+
Mir15b	chr3	68813678	68813775	+
Mir16-2	chr3	68813824	68813918	+
Trim59	chr3	68839210	68848677	-
Kpna4	chr3	68871071	68931035	-
snoU90	chr3	68889027	68889369	-
Arl14	chr3	69026341	69027538	+
Ppm1l	chr3	69120783	69364724	+
Gm17214	chr3	69123967	69124507	-
Gm17212	chr3	69139424	69139682	-
Gm17213	chr3	69234931	69236290	-
B3galnt1	chr3	69378108	69402783	-
5S_rRNA	chr3	69489389	69489502	+
Rpl32-ps	chr3	69520908	69521315	-
Nmd3	chr3	69525907	69552964	+
1110032A04Rik	chr3	69623460	69663818	-
SNORA17	chr3	69766237	69766367	-
Otol1	chr3	69811535	69832630	+
SNORA17	chr3	70032669	70032796	-
Gm10780	chr3	70493014	70493302	+
Gm6634	chr3	70576301	70611213	-
U2	chr3	72541753	72541903	-
Sis	chr3	72692479	72771785	-
Slitrk3	chr3	72852048	72860865	-
AC131665.1	chr3	72950771	72950880	+
7SK	chr3	73011625	73011923	-
Bche	chr3	73439730	73512337	-
Zbbx	chr3	74841829	74968956	-
Serpini2	chr3	75046292	75074000	-
Pdcd10	chr3	75320412	75360778	-
Serpini1	chr3	75361469	75447417	+
SNORA17	chr3	75518712	75518846	+
Golim4	chr3	75680105	75760871	-
Fstl5	chr3	75878192	76513941	+
SNORA17	chr3	76909131	76909207	-
Gm15442	chr3	78290730	78292559	-
7SK	chr3	78646146	78646488	+
Gm5277	chr3	78695786	78696373	-
Gm10291	chr3	78721130	78722380	+
Gm9762	chr3	78770278	78770721	-
SNORA17	chr3	78783844	78783973	+
Rapgef2	chr3	78866438	78985262	-
U6	chr3	79000296	79000399	+
Gm17359	chr3	79149298	79268051	+
Fnip2	chr3	79259893	79371718	-
Gm3513	chr3	79355236	79356115	-
4930589L23Rik	chr3	79372114	79376502	+
Ppid	chr3	79395264	79407572	+
Etfdh	chr3	79407710	79432785	-
4930579G24Rik	chr3	79433001	79436739	+
Rxfp1	chr3	79448638	79541716	-
Tmem144	chr3	79617070	79646584	-
U6	chr3	79638855	79638957	+
Fam198b	chr3	79688455	79750202	+
Gm6706	chr3	80203271	80203588	-
Gria2	chr3	80488858	80606713	-
AC163349.1	chr3	80496125	80496235	-
Glrb	chr3	80647521	80717582	-
Gm17731	chr3	80719733	80721354	+
Pdgfc	chr3	80840338	81017962	+
Gm16000	chr3	80841330	80844359	-
SNORA17	chr3	81684649	81684788	+
Gm9989	chr3	81725190	81728385	-
Ctso	chr3	81736523	81760647	+
Tdo2	chr3	81761012	81780124	-
Accn5	chr3	81786212	81825155	+
Gucy1b3	chr3	81835926	81878633	-
Gucy1a3	chr3	81896350	81949799	-
Mtap9	chr3	82161994	82199190	+
Npy2r	chr3	82342305	82352008	-
7SK	chr3	82597578	82597819	-
Rbm46	chr3	82641155	82680405	-
4930564K09Rik	chr3	82680627	82747560	+
Lrat	chr3	82696501	82707895	-
Fgg	chr3	82811781	82818975	+
Fga	chr3	82830075	82838036	+
Fgb	chr3	82846169	82853725	-
Plrg1	chr3	82859444	82876277	+
Gm10710	chr3	82929198	82933168	-
7SK	chr3	83438499	83438796	-
U6	chr3	83506174	83506280	+
Sfrp2	chr3	83570243	83578238	+
Gm16790	chr3	83577775	83593878	-
Tlr2	chr3	83640195	83645689	-
D930015E06Rik	chr3	83702131	83844083	-
Mnd1	chr3	83891856	83959708	-
Trim2	chr3	83964361	84109368	-
Gm6525	chr3	83978696	83979016	+
Fhdc1	chr3	84247947	84284351	-
Arfip1	chr3	84300015	85691438	-
Gm8813	chr3	84356780	84357374	-
Tigd4	chr3	84397496	84400954	+
Tmem154	chr3	84470114	84508497	+
Fbxw7	chr3	84619190	84783120	+
Dear1	chr3	84768978	84769502	-
Mir466k	chr3	85271299	85271420	+
Gm15535	chr3	85359968	85377867	-
Pet112l	chr3	85378041	85459544	+
Fam160a1	chr3	85463983	85550188	-
Glt28d2	chr3	85604969	85691440	-
U6	chr3	85712275	85712381	-
Gm9790	chr3	85719705	85719992	+
SNORA32	chr3	85754810	85754928	+
U7	chr3	85766693	85766754	-
Prss48	chr3	85797732	85806413	-
Sh3d19	chr3	85888356	85934444	+
SNORA32	chr3	85904456	85904577	+
Rps3a	chr3	85941862	85946624	-
Snord73a	chr3	85942713	85942780	-
Rnu73b	chr3	85944540	85944610	-
U6	chr3	85995338	85995448	+
Lrba	chr3	86028602	86586615	+
SNORA17	chr3	86079154	86079284	-
U1	chr3	86168379	86168547	+
U6	chr3	86188169	86188275	+
Mab21l2	chr3	86349503	86352205	-
Gm3788	chr3	86475690	86476166	-
Dclk2	chr3	86590073	86724803	-
U1	chr3	86734665	86734824	+
Cd1d2	chr3	86790508	86793455	+
Cd1d1	chr3	86799756	86803363	-
SNORA17	chr3	86870815	86870946	+
Kirrel	chr3	86882515	86978669	-
Gm10705	chr3	87011463	87011927	-
Fcrls	chr3	87054680	87067660	-
Cd5l	chr3	87161803	87174996	+
Fcrl1	chr3	87180309	87196055	+
Fcrl5	chr3	87239807	87261758	+
Etv3	chr3	87329329	87344078	+
SNORA17	chr3	87386594	87386713	-
AC139241.1	chr3	87421321	87421423	+
Arhgef11	chr3	87421481	87541956	+
Gm6570	chr3	87483528	87483991	-
4933430H15Rik	chr3	87540845	87552547	-
Pear1	chr3	87551812	87628181	-
Ntrk1	chr3	87582166	87599084	-
Insrr	chr3	87600873	87620023	+
Sh2d2a	chr3	87650677	87659644	+
Prcc	chr3	87662822	87689530	-
Hdgf	chr3	87710243	87720054	+
Mrpl24	chr3	87723428	87727594	+
Rrnad1	chr3	87726523	87734639	-
Isg20l2	chr3	87734236	87744608	+
Crabp2	chr3	87752588	87757298	+
Nes	chr3	87775000	87784373	+
Bcan	chr3	87791453	87804278	-
Hapln2	chr3	87825672	87831505	-
Gpatch4	chr3	87847030	87859915	+
Apoa1bp	chr3	87860445	87862417	-
Ttc24	chr3	87873332	87882226	-
Iqgap3	chr3	87885973	87924970	+
Mef2d	chr3	87946294	87976008	+
1700113A16Rik	chr3	87975482	87981707	-
AW047730	chr3	88004545	88007403	+
Gm3764	chr3	88018407	88025782	+
Mir3093	chr3	88019093	88019179	+
AC044864.1	chr3	88019511	88019618	-
Rhbg	chr3	88046796	88091132	-
Gm17285	chr3	88081022	88081376	+
1700021C14Rik	chr3	88084043	88100921	-
Cct3	chr3	88101038	88125689	+
0610031J06Rik	chr3	88128945	88135235	+
Tmem79	chr3	88132577	88138426	-
Smg5	chr3	88140182	88166259	+
Paqr6	chr3	88168506	88172463	+
Bglap-rs1	chr3	88172538	88176665	-
Bglap2	chr3	88181658	88182621	-
Gm6821	chr3	88184926	88186733	+
Bglap	chr3	88187423	88188386	-
Pmf1	chr3	88198061	88214238	-
Slc25a44	chr3	88214420	88229061	-
Sema4a	chr3	88239881	88265104	-
Lmna	chr3	88285070	88313878	-
Mex3a	chr3	88336317	88345318	+
Mir1905	chr3	88340223	88340304	-
Rab25	chr3	88345951	88352222	-
Lamtor2	chr3	88353741	88356996	-
Ubqln4	chr3	88357638	88373647	+
Gm10704	chr3	88380329	88381063	-
Ssr2	chr3	88383593	88392319	+
Arhgef2	chr3	88411376	88451974	+
RP23-398K14.3	chr3	88420379	88424983	-
Rxfp4	chr3	88455820	88457064	-
2810403A07Rik	chr3	88489716	88516855	+
SCARNA15	chr3	88497853	88497979	+
SNORA42	chr3	88511080	88511214	+
Rit1	chr3	88520760	88534971	+
Gm17146	chr3	88526012	88526592	+
Gm10253	chr3	88542675	88543614	-
Syt11	chr3	88548622	88636219	-
5830417I10Rik	chr3	88579138	88630250	+
Gon4l	chr3	88639153	88772903	+
U1	chr3	88666841	88667002	+
Msto1	chr3	88709029	88717921	-
n-R5s197	chr3	88710432	88710550	+
Dap3	chr3	88724725	88755103	-
Ash1l	chr3	88769734	88883295	+
U6	chr3	88774545	88774651	-
SNORA17	chr3	88852920	88853049	-
Rusc1	chr3	88887903	88897285	-
Fdps	chr3	88897514	88905881	-
U6	chr3	88901832	88901935	-
Mir720	chr3	88920531	88920594	-
Pklr	chr3	88940064	88950706	+
Hcn3	chr3	88949996	88964118	-
Clk2	chr3	88968717	88980843	+
Scamp3	chr3	88981395	88986687	+
Gm16069	chr3	88984677	88986215	-
Fam189b	chr3	88987065	88993217	+
U6	chr3	89005089	89005195	-
Gba	chr3	89006850	89012603	+
